0.076626688,0.076153438,5.7645914,1.076208703
0.15535615,0.15164771,11.465164,1.15208553
0.23439201,0.22687461,17.140684,1.22834856
0.31465706,0.30138777,22.748853,1.30486923
0.39547712,0.37506771,28.280322,1.38184230
0.47650085,0.44767779,33.715108,1.45933283
0.55695902,0.5190367,39.039814,1.5374507
0.63612932,0.5889548,44.241288,1.6162817
0.71327266,0.65726095,49.309283,1.69591294
0.78777545,0.72379465,54.235538,1.77642213
0.85915769,0.78841136,59.01414,1.85788061
0.92709619,0.85098254,63.641306,1.94035113
0.99140533,0.91139746,68.115312,2.02388785
1.0520151,0.96956393,72.436293,2.10853543
1.1089419,1.025409,76.606054,2.194329
1.1622637,1.0788794,80.62784,2.2812926
1.2121,1.1299411,84.506105,2.3694412
1.2585974,1.1785792,88.246283,2.4587787
1.3019193,1.2247967,91.854567,2.5492982
1.342239,1.2686139,95.337704,2.6409838
1.3797342,1.3100666,98.702812,2.7338097
1.4145836,1.3492044,101.95722,2.8277408
1.4469632,1.3860893,105.10835,2.9227349
1.4770442,1.4207937,108.16356,3.0187426
1.5049915,1.4533981,111.13013,3.1157078
1.5309619,1.48399,114.01513,3.21357
1.5551037,1.5126615,116.82543,3.3122684
1.5775563,1.5395079,119.56762,3.4117339
1.5984497,1.5646262,122.24804,3.5119006
1.6179049,1.5881137,124.87271,3.6127016
1.6360342,1.6100668,127.44742,3.7140707
1.652941,1.6305802,129.97762,3.8159443
1.6687208,1.6497459,132.46855,3.9182610
1.6834615,1.6676528,134.92513,4.0209637
1.6972438,1.6843859,137.35207,4.1239987
1.7101415,1.7000263,139.75382,4.2273171
1.7222225,1.714651,142.13457,4.330877
1.7335492,1.7283326,144.49831,4.4346401
1.7441783,1.7411394,146.84878,4.5385767
1.7541621,1.7531356,149.18951,4.6426643
1.7635486,1.7643811,151.52377,4.7468865
1.7723814,1.7749322,153.85464,4.8512393
1.7807009,1.7848414,156.18491,4.9557281
1.7885439,1.7941579,158.51717,5.0603723
1.7959442,1.8029277,160.85373,5.1652059
1.802933,1.8111941,163.19661,5.2702832
1.8095388,1.8189977,165.5476,5.3756785
1.8157879,1.8263768,167.90815,5.4814921
1.8217046,1.8333679,170.27944,5.5878587
1.8273116,1.8400057,172.66231,5.6949500
1.8326302,1.8463235,175.05732,5.8029842
1.8376806,1.8523531,177.46466,5.9122285
1.8424827,1.8581255,179.88425,6.0230175
1.8470567,1.863671,182.31565,6.135764
1.8514231,1.8690187,184.75818,6.2509584
1.8556053,1.8741984,187.21079,6.3692243
1.8596254,1.8792368,189.67235,6.4912479
1.8635166,1.8841666,192.14107,6.6180224
1.8672931,1.8890047,194.61612,6.7503133
1.8710273,1.8938083,197.09353,6.8902461
1.8746502,1.8985285,199.577,7.0370493
